アー	aː
ウェルシュコーギー	ɯeɾɯɕɯkoːgiː
ウェルダン	ɯeɾɯdaɴ
ウェルディングステーション	ɯeɾɯdeiɴgɯsɯteːɕoɴ
ウェルネス	ɯeɾɯnesɯ
ウェルプ	ɯeɾɯpɯ
ウェンズデー	ɯeɴzɯdeː
ウエー	ɯeː
ウエーター	ɯeːtaː
ウエーティング	ɯeːteiɴgɯ
ウエーティング・サークル	ɯeːteiɴgɯ saːkɯɾɯ
ウエーティング・ルーム	ɯeːteiɴgɯ ɾɯːmɯ
ウエーティングサークル	ɯeːteiɴgɯsaːkɯɾɯ
ウエーティングシステム	ɯeːteiɴgɯɕisɯtemɯ
ウエーティングルーム	ɯeːteiɴgɯɾɯːmɯ
ウエーデルン	ɯeːdeɾɯɴ
ウエート	ɯeːto
ウエート・トレーニング	ɯeːto toɾeːniɴgɯ
ウエートトレーニング	ɯeːtotoɾeːniɴgɯ
ウエートリフティング	ɯeːtoɾiɸɯteiɴgɯ
ウエートレス	ɯeːtoɾesɯ
ウエーバー	ɯeːbaː
ウエーファー	ɯeːɸaː
ウエーブ	ɯeːbɯ
ウエーブフロント	ɯeːbɯɸɯɾoɴto
ウエア・インジケーター	ɯea iɴdʑikeːtaː
ウエアインジケーター	ɯeaiɴdʑikeːtaː
ウエアハウス	ɯeahaɯsɯ
ウエアハウス・ストア	ɯeahaɯsɯ sɯtoa
ウエアハウスストア	ɯeahaɯsɯsɯtoa
ウエアラブル	ɯeaɾabɯɾɯ
ウエイト・コントロール	ɯeito koɴtoɾoːɾɯ
ウエイト・トレーニング	ɯeito toɾeːniɴgɯ
ウエイトコントロール	ɯeitokoɴtoɾoːɾɯ
ウエイトトレーニング	ɯeitotoɾeːniɴgɯ
ウエイトリフティング	ɯeitoɾiɸɯteiɴgɯ
ウエイブ	ɯeibɯ
ウエザー	ɯezaː
ウエザーコック	ɯezaːkokːɯ
ウエザーマーチャンダイジング	ɯezaːmaːtɕaɴdaidʑiɴgɯ
ウエスタン・グリップ	ɯesɯtaɴ gɯɾipːɯ
ウエスタン・スイング	ɯesɯtaɴ sɯiɴgɯ
ウエスタン・ミュージック	ɯesɯtaɴ mjɯːdʑikːɯ
ウエスタン・リーグ	ɯesɯtaɴ ɾiːgɯ
ウエスタングリップ	ɯesɯtaɴgɯɾipːɯ
ウエスタンスイング	ɯesɯtaɴsɯiɴgɯ
ウエスタンデジタル	ɯesɯtaɴdedʑitaɾɯ
ウエスタンミュージック	ɯesɯtaɴmjɯːdʑikːɯ
ウエスタンリーグ	ɯesɯtaɴɾiːgɯ
ウエスト・エンド	ɯesɯto eɴdo
ウエスト・コースト	ɯesɯto koːsɯto
ウエスト・サイド	ɯesɯto saido
ウエスト・ナイル・ウイルス	ɯesɯto naiɾɯ ɯiɾɯsɯ
ウエスト・ニッパー	ɯesɯto nipːaː
ウエスト・バッグ	ɯesɯto bagːɯ
ウエスト・ボール	ɯesɯto boːɾɯ
ウエスト・ポイント	ɯesɯto poiɴto
ウエスト・モール	ɯesɯto moːɾɯ
ウエストアフリカンスペードフィッシュ	ɯesɯtoaɸɯɾikaɴsɯpeːdoɸiɕːɯ
ウエストエンド	ɯesɯtoeɴdo
ウエストコースト	ɯesɯtokoːsɯto
ウエストコート	ɯesɯtokoːto
ウエストサイド	ɯesɯtosaido
ウエストナイルウイルス	ɯesɯtonaiɾɯɯiɾɯsɯ
ウエストニッパー	ɯesɯtonipːaː
ウエストバッグ	ɯesɯtobagːɯ
ウエストボール	ɯesɯtoboːɾɯ
ウエストポイント	ɯesɯtopoiɴto
ウエストモール	ɯesɯtomoːɾɯ
ウエストライン	ɯesɯtoɾaiɴ
ウエッジ	ɯedʑːi
ウエッジ・ソール	ɯedʑːi soːɾɯ
ウエッジソール	ɯedʑːisoːɾɯ
ウエッディング	ɯedːeiɴgɯ
ウエット	ɯetːo
ウエット・カット	ɯetːo katːo
ウエット・クリーニング	ɯetːo kɯɾiːniɴgɯ
ウエット・コア	ɯetːo koa
ウエット・スーツ	ɯetːo sɯːtsɯ
ウエット・ティッシュ	ɯetːo teiɕːɯ
ウエット・フライ	ɯetːo ɸɯɾai
ウエットカット	ɯetːokatːo
ウエットクリーニング	ɯetːokɯɾiːniɴgɯ
ウエットコア	ɯetːokoa
ウエットスーツ	ɯetːosɯːtsɯ
ウエットティッシュ	ɯetːoteiɕːɯ
ウエットフライ	ɯetːoɸɯɾai
ウエディング・ケーキ	ɯedeiɴgɯ keːki
ウエディング・ドレス	ɯedeiɴgɯ doɾesɯ
ウエディング・ベール	ɯedeiɴgɯ beːɾɯ
ウエディング・ベル	ɯedeiɴgɯ beɾɯ
ウエディング・マーチ	ɯedeiɴgɯ maːtɕi
ウエディング・リング	ɯedeiɴgɯ ɾiɴgɯ
ウエディングケーキ	ɯedeiɴgɯkeːki
ウエディングドレス	ɯedeiɴgɯdoɾesɯ
ウエディングベール	ɯedeiɴgɯbeːɾɯ
ウエディングベル	ɯedeiɴgɯbeɾɯ
ウエディングマーチ	ɯedeiɴgɯmaːtɕi
ウエディングリング	ɯedeiɴgɯɾiɴgɯ
ウエハ・スケール・インテグレーション	ɯeha sɯkeːɾɯ iɴtegɯɾeːɕoɴ
ウエハー	ɯehaː
ウエハース	ɯehaːsɯ
ウエハスケールインテグレーション	ɯehasɯkeːɾɯiɴtegɯɾeːɕoɴ
ウエブ	ɯebɯ
ウエブ・サイト	ɯebɯ saito
ウエブサイト	ɯebɯsaito
ウエブマスター	ɯebɯmasɯtaː
ウエポン	ɯepoɴ
ウエルカム	ɯeɾɯkamɯ
ウエルカム・ドリンク	ɯeɾɯkamɯ doɾiɴkɯ
ウエルカムドリンク	ɯeɾɯkamɯdoɾiɴkɯ
ウエルダン	ɯeɾɯdaɴ
ウエルネス	ɯeɾɯnesɯ
ウエンズデー	ɯeɴzɯdeː
ウォーカー	ɯoːkaː
ウォーカソン	ɯoːkasoɴ
ウォーキートーキー	ɯoːkiːtoːkiː
ウォーキールッキー	ɯoːkiːɾɯkːiː
ウォーキング	ɯoːkiɴgɯ
ウォーキング・シューズ	ɯoːkiɴgɯ ɕɯːzɯ
ウォーキング・ディクショナリー	ɯoːkiɴgɯ deikɯɕonaɾiː
ウォーキングシューズ	ɯoːkiɴgɯɕɯːzɯ
ウォーキングディクショナリー	ɯoːkiɴgɯdeikɯɕonaɾiː
ウォーク	ɯoːkɯ
ウォーク・イン・クローゼット	ɯoːkɯ iɴ kɯɾoːzetːo
ウォーク・イン・クロゼット	ɯoːkɯ iɴ kɯɾozetːo
ウォーク・スルー	ɯoːkɯ sɯɾɯː
ウォーク・ライ	ɯoːkɯ ɾai
ウォーク・ラリー	ɯoːkɯ ɾaɾiː
ウォークイン	ɯoːkɯiɴ
ウォークインクローゼット	ɯoːkɯiɴkɯɾoːzetːo
ウォークインクロゼット	ɯoːkɯiɴkɯɾozetːo
ウォークスルー	ɯoːkɯsɯɾɯː
ウォークライ	ɯoːkɯɾai
ウォークラリー	ɯoːkɯɾaɾiː
ウォーゲーム	ɯoːgeːmɯ
ウォーサ	ɯoːsa
ウォーズ	ɯoːzɯ
ウォータ	ɯoːta
ウォーター	ɯoːtaː
ウォーター・クーラー	ɯoːtaː kɯːɾaː
ウォーター・クレス	ɯoːtaː kɯɾesɯ
ウォーター・クロゼット	ɯoːtaː kɯɾozetːo
ウォーター・シューズ	ɯoːtaː ɕɯːzɯ
ウォーター・シュート	ɯoːtaː ɕɯːto
ウォーター・ジャケット	ɯoːtaː dʑaketːo
ウォーター・スパニエル	ɯoːtaː sɯpanieɾɯ
ウォーター・スライダー	ɯoːtaː sɯɾaidaː
ウォーター・ハザード	ɯoːtaː hazaːdo
ウォーター・ポロ	ɯoːtaː poɾo
ウォーター・ヤム	ɯoːtaː jamɯ
ウォーターカラー	ɯoːtaːkaɾaː
ウォータークーラー	ɯoːtaːkɯːɾaː
ウォータークレス	ɯoːtaːkɯɾesɯ
ウォータークロゼット	ɯoːtaːkɯɾozetːo
ウォーターゲート	ɯoːtaːgeːto
ウォーターシューズ	ɯoːtaːɕɯːzɯ
ウォーターシュート	ɯoːtaːɕɯːto
ウォータージャケット	ɯoːtaːdʑaketːo
ウォータースパニエル	ɯoːtaːsɯpanieɾɯ
ウォータースライダー	ɯoːtaːsɯɾaidaː
ウォータータイト	ɯoːtaːtaito
ウォーターハザード	ɯoːtaːhazaːdo
ウォーターフォール	ɯoːtaːɸoːɾɯ
ウォーターフロント	ɯoːtaːɸɯɾoɴto
ウォータープルーフ	ɯoːtaːpɯɾɯːɸɯ
ウォーターベッド	ɯoːtaːbedːo
ウォーターポロ	ɯoːtaːpoɾo
ウォーターメロン	ɯoːtaːmeɾoɴ
ウォーターヤム	ɯoːtaːjamɯ
ウォータフォール	ɯoːtaɸoːɾɯ
ウォーダイヤラ	ɯoːdaijaɾa
ウォーダイヤリング	ɯoːdaijaɾiɴgɯ
ウォードライビング	ɯoːdoɾaibiɴgɯ
ウォードローブ	ɯoːdoɾoːbɯ
ウォードロウブ	ɯoːdoɾoɯbɯ
ウォーニング・ランプ	ɯoːniɴgɯ ɾaɴpɯ
ウォーニングランプ	ɯoːniɴgɯɾaɴpɯ
ウォーマー	ɯoːmaː
ウォーミング	ɯoːmiɴgɯ
ウォーミングアップ	ɯoːmiɴgɯapːɯ
ウォーム	ɯoːmɯ
ウォーム・ギア	ɯoːmɯ gia
ウォーム・スタート	ɯoːmɯ sɯtaːto
ウォーム・ビズ	ɯoːmɯ bizɯ
ウォーム・ブート	ɯoːmɯ bɯːto
ウォームアップ	ɯoːmɯapːɯ
ウォームギア	ɯoːmɯgia
ウォームスタート	ɯoːmɯsɯtaːto
ウォームビズ	ɯoːmɯbizɯ
ウォームブート	ɯoːmɯbɯːto
ウォーラント	ɯoːɾaɴto
ウォール・ペーパー	ɯoːɾɯ peːpaː
ウォールアイ	ɯoːɾɯai
ウォールサーキットブレーカ	ɯoːɾɯsaːkitːobɯɾeːka
ウォールツ	ɯoːɾɯtsɯ
ウォールナット	ɯoːɾɯnatːo
ウォールペーパー	ɯoːɾɯpeːpaː
ウォシュレット	ɯoɕɯɾetːo
ウォストーク	ɯosɯtoːkɯ
ウォッシャー	ɯoɕːaː
ウォッシャブル	ɯoɕːabɯɾɯ
ウォッシュアンドウェア	ɯoɕːɯaɴdoɯea
ウォッシュアンドウエア	ɯoɕːɯaɴdoɯea
ウォッチ	ɯotɕːi
ウォッチドッグ	ɯotɕːidogːɯ
ウォッチドッグ・タイマ	ɯotɕːidogːɯ taima
ウォッチドッグ・タイマー	ɯotɕːidogːɯ taimaː
ウォッチドッグ・ドライバ	ɯotɕːidogːɯ doɾaiba
ウォッチドッグタイマ	ɯotɕːidogːɯtaima
ウォッチドッグタイマー	ɯotɕːidogːɯtaimaː
ウォッチドッグドライバ	ɯotɕːidogːɯdoɾaiba
ウォッチマン	ɯotɕːimaɴ
ウォッチャー	ɯotɕːaː
ウォッチング	ɯotɕːiɴgɯ
ウォツカ	ɯotsɯka
ウォトカ	ɯotoka
ウォビゴン	ɯobigoɴ
ウォラント	ɯoɾaɴto
ウォルナット	ɯoɾɯnatːo
ウォルフ	ɯoɾɯɸɯ
ウォレマイパイン	ɯoɾemaipaiɴ
ウォンツ	ɯoɴtsɯ
ウォンテット	ɯoɴtetːo
ウォンテッド	ɯoɴtedːo
ウォンド	ɯoɴdo
ウオー	ɯoː
ウオー・クライ	ɯoː kɯɾai
ウオーカー	ɯoːkaː
ウオーキング	ɯoːkiɴgɯ
ウオーキング・シューズ	ɯoːkiɴgɯ ɕɯːzɯ
ウオーキング・ディクショナリー	ɯoːkiɴgɯ deikɯɕonaɾiː
ウオーキングシューズ	ɯoːkiɴgɯɕɯːzɯ
ウオーキングディクショナリー	ɯoːkiɴgɯdeikɯɕonaɾiː
ウオーク	ɯoːkɯ
ウオーク・イン・クロゼット	ɯoːkɯ iɴ kɯɾozetːo
ウオークインクロゼット	ɯoːkɯiɴkɯɾozetːo
ウオークライ	ɯoːkɯɾai
ウオーター・クーラー	ɯoːtaː kɯːɾaː
ウオーター・クレス	ɯoːtaː kɯɾesɯ
ウオーター・クロゼット	ɯoːtaː kɯɾozetːo
ウオーター・シュート	ɯoːtaː ɕɯːto
ウオーター・スポット	ɯoːtaː sɯpotːo
ウオーター・スライダー	ɯoːtaː sɯɾaidaː
ウオーター・ドラゴン	ɯoːtaː doɾagoɴ
ウオーター・ハザード	ɯoːtaː hazaːdo
ウオーター・バス	ɯoːtaː basɯ
ウオーター・ポロ	ɯoːtaː poɾo
ウオータークーラー	ɯoːtaːkɯːɾaː
ウオータークレス	ɯoːtaːkɯɾesɯ
ウオータークロゼット	ɯoːtaːkɯɾozetːo
ウオーターシュート	ɯoːtaːɕɯːto
ウオータージェット	ɯoːtaːdʑietːo
ウオータースポット	ɯoːtaːsɯpotːo
ウオータースライダー	ɯoːtaːsɯɾaidaː
ウオータードラゴン	ɯoːtaːdoɾagoɴ
ウオーターハザード	ɯoːtaːhazaːdo
ウオーターバス	ɯoːtaːbasɯ
ウオーターフロント	ɯoːtaːɸɯɾoɴto
ウオータープルーフ	ɯoːtaːpɯɾɯːɸɯ
ウオーターポロ	ɯoːtaːpoɾo
ウオーデン	ɯoːdeɴ
ウオーニング	ɯoːniɴgɯ
ウオーマー	ɯoːmaː
ウオーミングアップ	ɯoːmiɴgɯapːɯ
ウオーム・カラー	ɯoːmɯ kaɾaː
ウオーム・ギア	ɯoːmɯ gia
ウオームアップ	ɯoːmɯapːɯ
ウオームカラー	ɯoːmɯkaɾaː
ウオームギア	ɯoːmɯgia
ウオール	ɯoːɾɯ
ウオクイコウモリ	ɯokɯikoɯmoɾi
ウオッカ	ɯokːa
ウオッシャブル	ɯoɕːabɯɾɯ
ウオッシュ	ɯoɕːɯ
ウオッシュアンドウエア	ɯoɕːɯaɴdoɯea
ウオッチ・ポケット	ɯotɕːi poketːo
ウオッチポケット	ɯotɕːipoketːo
ウオッチマン	ɯotɕːimaɴ
ウオッチャー	ɯotɕːaː
ウオッチング	ɯotɕːiɴgɯ
ウオルナット	ɯoɾɯnatːo
ウオン	ɯoɴ
ウキウキ	ɯkiɯki
ウキゴリ	ɯkigoɾi
ウキヤガラ	ɯkijagaɾa
ウグイス	ɯgɯisɯ
ウグイスカグラ	ɯgɯisɯkagɯɾa
ウグイスガイ	ɯgɯisɯgai
ウグイスナ	ɯgɯisɯna
ウケクチウグイ	ɯkekɯtɕiɯgɯi
ウコギ	ɯkogi
ウコッケイ	ɯkokːei
ウコツケイ	ɯkotsɯkei
ウコン	ɯkoɴ
ウサギ	ɯsagi
ウサギコウモリ	ɯsagikoɯmoɾi
ウシ	ɯɕi
ウシアブ	ɯɕiabɯ
ウシエビ	ɯɕiebi
ウシガエル	ɯɕigaeɾɯ
ウシザメ	ɯɕizame
ウシツツキ	ɯɕitsɯtsɯki
ウシノケグサ	ɯɕinokegɯsa
ウスイロコノマチョウ	ɯsɯiɾokonomatɕoɯ
ウスイロセイブモグラ	ɯsɯiɾoseibɯmogɯɾa
ウスケ	ɯsɯke
ウスター・ソース	ɯsɯtaː soːsɯ
ウスターソース	ɯsɯtaːsoːsɯ
ウスバカゲロウ	ɯsɯbakageɾoɯ
ウスバサイシン	ɯsɯbasaiɕiɴ
ウスバハギ	ɯsɯbahagi
ウスベニタチアオイ	ɯsɯbenitatɕiaoi
ウスユキソウ	ɯsɯjɯkisoɯ
ウスユキバト	ɯsɯjɯkibato
ウスラトンカチ	ɯsɯɾatoɴkatɕi
ウズラ	ɯzɯɾa
ウズラクイナ	ɯzɯɾakɯina
ウソ	ɯso
ウゾ	ɯzo
ウダイカンバ	ɯdaikaɴba
ウチナーグチ	ɯtɕinaːgɯtɕi
ウチナンチュ	ɯtɕinaɴtɕɯ
ウチナンチュー	ɯtɕinaɴtɕɯː
ウチョウラン	ɯtɕoɯɾaɴ
ウチワエビ	ɯtɕiɰᵝaebi
ウチワシュモクザメ	ɯtɕiɰᵝaɕɯmokɯzame
ウチワムシ	ɯtɕiɰᵝamɯɕi
ウチワヤンマ	ɯtɕiɰᵝajaɴma
ウッ	ɯッ
ウッキー	ɯkːiː
ウッズクロミス	ɯzːɯkɯɾomisɯ
ウッディー	ɯdːeiː
ウッド	ɯdːo
ウッド・カーペット	ɯdːo kaːpetːo
ウッド・クリップ	ɯdːo kɯɾipːɯ
ウッド・パルプ	ɯdːo paɾɯpɯ
ウッド・メタル	ɯdːo metaɾɯ
ウッドカーペット	ɯdːokaːpetːo
ウッドクラフト	ɯdːokɯɾaɸɯto
ウッドクリップ	ɯdːokɯɾipːɯ
ウッドストック・フェスティバル	ɯdːosɯtokːɯ ɸɯesɯteibaɾɯ
ウッドストックフェスティバル	ɯdːosɯtokːɯɸɯesɯteibaɾɯ
ウッドチップ	ɯdːotɕipːɯ
ウッドチップコース	ɯdːotɕipːɯkoːsɯ
ウッドパルプ	ɯdːopaɾɯpɯ
ウッドブロック	ɯdːobɯɾokːɯ
ウッドペッカー	ɯdːopekːaː
ウッドメタル	ɯdːometaɾɯ
ウツボ	ɯtsɯbo
ウツボグサ	ɯtsɯbogɯsa
ウド	ɯdo
ウドン	ɯdoɴ
ウナギ	ɯnagi
ウニ	ɯni
ウニウ	ɯniɯ
ウネウ	ɯneɯ
ウバーレ	ɯbaːɾe
ウバウオ	ɯbaɯo
ウバガイ	ɯbagai
ウバザメ	ɯbazame
ウバタマ	ɯbatama
ウバヒガン	ɯbaçigaɴ
ウバメガシ	ɯbamegaɕi
ウフッ	ɯɸɯッ
ウヘッ	ɯheッ
ウベ	ɯbe
ウマ	ɯma
ウマーン	ɯmaːɴ
ウマゴヤシ	ɯmagojaɕi
ウマヅラコウモリ	ɯmazɯɾakoɯmoɾi
ウマビル	ɯmabiɾɯ
ウマン	ɯmaɴ
ウミイグアナ	ɯmiigɯana
ウミウ	ɯmiɯ
ウミウシ	ɯmiɯɕi
ウミエラ	ɯmieɾa
ウミオウム	ɯmioɯmɯ
ウミガメ	ɯmigame
ウミガラス	ɯmigaɾasɯ
ウミケムシ	ɯmikemɯɕi
ウミサソリ	ɯmisasoɾi
ウミザリガニ	ɯmizaɾigani
ウミスズメ	ɯmisɯzɯme
ウミタケ	ɯmitake
ウミタケガイ	ɯmitakegai
ウミタナゴ	ɯmitanago
ウミツバメ	ɯmitsɯbame
ウミヅキチョウチョウウオ	ɯmizɯkitɕoɯtɕoɯɯo
ウミテング	ɯmiteɴgɯ
ウミニナ	ɯminina
ウミバト	ɯmibato
ウミヒゴイ	ɯmiçigoi
ウミヘビ	ɯmihebi
ウミホタル	ɯmihotaɾɯ
ウミミドリ	ɯmimidoɾi
ウミヤツメ	ɯmijatsɯme
ウミユリ	ɯmijɯɾi
ウミワニ	ɯmiɰᵝani
ウムラウト	ɯmɯɾaɯto
ウメ	ɯme
ウメバチソウ	ɯmebatɕisoɯ
ウメモドキ	ɯmemodoki
ウメラ	ɯmeɾa
ウラウズガイ	ɯɾaɯzɯgai
ウラウチイソハゼ	ɯɾaɯtɕiisohaze
ウラウチフエダイ	ɯɾaɯtɕiɸɯedai
ウラウラ	ɯɾaɯɾa
ウラギク	ɯɾagikɯ
ウラシマソウ	ɯɾaɕimasoɯ
ウラシマチョウチョウウオ	ɯɾaɕimatɕoɯtɕoɯɯo
ウラシル	ɯɾaɕiɾɯ
ウラジロ	ɯɾadʑiɾo
ウラジロノキ	ɯɾadʑiɾonoki
ウラニウム	ɯɾaniɯmɯ
ウラノス	ɯɾanosɯ
ウラバナ	ɯɾabana
ウラマー	ɯɾamaː
ウラン・ガラス	ɯɾaɴ gaɾasɯ
ウランガラス	ɯɾaɴgaɾasɯ
ウリ	ɯɾi
ウリザネジョウチュウ	ɯɾizanedʑoɯtɕɯɯ
ウリジナル	ɯɾidʑinaɾɯ
ウリジン	ɯɾidʑiɴ
ウリナラ	ɯɾinaɾa
ウリノキ	ɯɾinoki
ウリハムシ	ɯɾihamɯɕi
ウリバエ	ɯɾibae
ウリミバエ	ɯɾimibae
ウルーコ	ɯɾɯːko
ウルカヌス	ɯɾɯkanɯsɯ
ウルガタ	ɯɾɯgata
ウルグアイ・ラウンド	ɯɾɯgɯai ɾaɯɴdo
ウルグアイラウンド	ɯɾɯgɯaiɾaɯɴdo
ウルサイ	ɯɾɯsai
ウルシオール	ɯɾɯɕioːɾɯ
ウルップソウ	ɯɾɯpːɯsoɯ
ウルテ	ɯɾɯte
ウルティマ	ɯɾɯteima
ウルトラ	ɯɾɯtoɾa
ウルトラ・スカジー	ɯɾɯtoɾa sɯkadʑiː
ウルトラスカジー	ɯɾɯtoɾasɯkadʑiː
ウルトラスパーク	ɯɾɯtoɾasɯpaːkɯ
ウルトラナショナリズム	ɯɾɯtoɾanaɕonaɾizɯmɯ
ウルトラマリン	ɯɾɯtoɾamaɾiɴ
ウルトラモダン	ɯɾɯtoɾamodaɴ
ウルトラモンタニズム	ɯɾɯtoɾamoɴtanizɯmɯ
ウルフハウンド	ɯɾɯɸɯhaɯɴdo
ウルメ	ɯɾɯme
ウルメイワシ	ɯɾɯmeiɰᵝaɕi
ウレアーゼ	ɯɾeaːze
ウレキサイト	ɯɾekisaito
ウレタン	ɯɾetaɴ
ウレタン・ゴム	ɯɾetaɴ gomɯ
ウレタン・フォーム	ɯɾetaɴ ɸoːmɯ
ウレタンゴム	ɯɾetaɴgomɯ
ウレタンフォーム	ɯɾetaɴɸoːmɯ
ウロキナーゼ	ɯɾokinaːze
ウロコベニハゼ	ɯɾokobenihaze
ウロハゼ	ɯɾohaze
ウロビリノーゲン	ɯɾobiɾinoːgeɴ
ウロビリノゲン	ɯɾobiɾinogeɴ
ウロビリン	ɯɾobiɾiɴ
ウロボロス	ɯɾoboɾosɯ
ウワバミ	ɯɰᵝabami
ウワバミソウ	ɯɰᵝabamisoɯ
ウワミズザクラ	ɯɰᵝamizɯzakɯɾa
ウヰスケ	ɯɰᵝisɯke
ウンウン	ɯɴɯɴ
ウンウンオクチウム	ɯɴɯɴokɯtɕiɯmɯ
ウンウンクアジウム	ɯɴɯɴkɯadʑiɯmɯ
ウンウンセプチウム	ɯɴɯɴsepɯtɕiɯmɯ
ウンウントリウム	ɯɴɯɴtoɾiɯmɯ
ウンウンビウム	ɯɴɯɴbiɯmɯ
ウンウンペンチウム	ɯɴɯɴpeɴtɕiɯmɯ
ウンカ	ɯɴka
ウンシャン	ɯɴɕaɴ
ウンシュウミカン	ɯɴɕɯɯmikaɴ
ウンスンカルタ	ɯɴsɯɴkaɾɯta
ウンタイ	ɯɴtai
ウンダイ	ɯɴdai
ウンピョウ	ɯɴpjoɯ
ウンラン	ɯɴɾaɴ
エー・クラス	eː kɯɾasɯ
エーアールジェイ	eːaːɾɯdʑiei
エーアイエックス	eːaiekːɯsɯ
エーアイエフ	eːaieɸɯ
エーアイエフエフ	eːaieɸɯeɸɯ
エーアイエムエム	eːaiemɯemɯ
エーエスーピーアイ	eːesɯːpiːai
エーエスピー	eːesɯpiː
エーエスヨンヒャク	eːesɯjoɴçjakɯ
エーエヌエス	eːenɯesɯ
エーエフエス	eːeɸɯesɯ
エーエムーディー	eːemɯːdeiː
エーエムディーケーシックス	eːemɯdeiːkeːɕikːɯsɯ
エーエムディーケーセブン	eːemɯdeiːkeːsebɯɴ
エーエルユー	eːeɾɯjɯː
エークラス	eːkɯɾasɯ
エーコッコシー	eːkokːoɕiː
エーシック	eːɕikːɯ
エージ	eːdʑi
エージ・シューター	eːdʑi ɕɯːtaː
エージェンシー	eːdʑieɴɕiː
エージェント・オレンジ	eːdʑieɴto oɾeɴdʑi
エージェントオレンジ	eːdʑieɴtooɾeɴdʑi
エージグループ	eːdʑigɯɾɯːpɯ
エージシューター	eːdʑiɕɯːtaː
エージズム	eːdʑizɯmɯ
エージド・ビーフ	eːdʑido biːɸɯ
エージドビーフ	eːdʑidobiːɸɯ
エージレス	eːdʑiɾesɯ
エージング	eːdʑiɴgɯ
エージング・ハラスメント	eːdʑiɴgɯ haɾasɯmeɴto
エージングハラスメント	eːdʑiɴgɯhaɾasɯmeɴto
エージント	eːdʑiɴto
エース・アタッカー	eːsɯ atakːaː
エース・スパイカー	eːsɯ sɯpaikaː
エースアタッカー	eːsɯatakːaː
エーススパイカー	eːsɯsɯpaikaː
エーティーアンドティー	eːteiːaɴdoteiː
エーティーエー	eːteiːeː
エーティーコマンド	eːteiːkomaɴdo
エーディーオー	eːdeiːoː
エーディーコンバーター	eːdeiːkoɴbaːtaː
エーディージェイ	eːdeiːdʑiei
エーディービー	eːdeiːbiː
エーデルワイス	eːdeɾɯɰᵝaisɯ
エートゥビー	eːtɯbiː
エートス	eːtosɯ
エード	eːdo
エービーイー	eːbiːiː
エーピーアイ	eːpiːai
エーピーエル	eːpiːeɾɯ
エーブイアイ	eːbɯiai
エープリル	eːpɯɾiɾɯ
エープリル・フール	eːpɯɾiɾɯ ɸɯːɾɯ
エープリルフール	eːpɯɾiɾɯɸɯːɾɯ
エーユーエックス	eːjɯːekːɯsɯ
エーリアン	eːɾiaɴ
エーログラム	eːɾogɯɾamɯ
エーロゾル	eːɾozoɾɯ
エア	ea
エア・カーゴ	ea kaːgo
エア・カーテン	ea kaːteɴ
エア・ガール	ea gaːɾɯ
エア・キャップ	ea kjapːɯ
エア・ギター	ea gitaː
エア・クッション	ea kɯɕːoɴ
エア・クリーナー	ea kɯɾiːnaː
エア・コンディショナー	ea koɴdeiɕonaː
エア・コンプレッサー	ea koɴpɯɾesːaː
エア・サービス	ea saːbisɯ
エア・サイクル・システム	ea saikɯɾɯ ɕisɯtemɯ
エア・サスペンション	ea sasɯpeɴɕoɴ
エア・シック	ea ɕikːɯ
エア・シャトル	ea ɕatoɾɯ
エア・シューター	ea ɕɯːtaː
エア・シュート	ea ɕɯːto
エア・シリンダ	ea ɕiɾiɴda
エア・ステーション	ea sɯteːɕoɴ
エア・ターミナル	ea taːminaɾɯ
エア・タオル	ea taoɾɯ
エア・ダクト	ea dakɯto
エア・ダスター	ea dasɯtaː
